TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
10-07-2026,10-07-2026,CM,BSE,STK,532375,INE716B01029,TIPSMUSIC,A,,,,,TIPS MUSIC LIMITED,715.45,720,698.4,711.15,703.4,712.5,,711.55,,,15317,10860683,868,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532376,INE398B01018,UMIYA-MRO,B,,,,,UMIYA BUILDCON LIMITED,93,94.5,91.2,91.38,91.2,90.99,,91.33,,,8386,781183,220,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532378,INE464B01018,UNIVARTS,X,,,,,UNIVERSAL ARTS LTD.,5,5,5,5,5,5,,5,,,2014,10070,2,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532379,INE683B01047,FIRSTFIN,XT,,,,,FIRST FINTEC LIMITED,7.75,8.45,7.71,7.71,7.71,8.11,,7.71,,,1280,9887,18,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532380,INE893A01036,BABA,X,,,,,BABA ARTS LTD.,16.41,17.1,16.1,16.54,16.72,16.36,,16.54,,,25119,411207,104,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532382,INE794B01026,BALAJITELE,B,,,,,BALAJI TELEFILMS LTD.,92.58,93,90.39,92.25,92.79,91.15,,92.29,,,21352,1954131,696,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532384,INE443B01012,TYCHE,X,,,,,TYCHE INDUSTRIES LTD.,124.95,130,121.5,122.1,122.1,121.8,,122.1,,,8907,1104602,137,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532386,INE526B01014,CALSOFT,T,,,,,CALIFORNIA SOFTWARE CO.LTD.,21.45,22.43,21.45,22.28,22.34,21.39,,22.29,,,25307,559040,74,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532387,INE392B01011,PNC,B,,,,,PRITISH NANDY COMMUNICATIONS L,19.36,21.6,19.36,20.37,20.38,21.34,,20.37,,,178,3644,11,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532388,INE565A01014,IOB,A,,,,,INDIAN OVERSEAS BANK,33.89,34.85,33.8,34.58,34.58,33.73,,34.58,,,191507,6593484,752,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532390,INE586B01026,TAJGVK,B,,,,,TAJGVK HOTELS & RESORTS LTD.,362.55,374,360.85,371.5,370.1,362.05,,371.7,,,14952,5506231,514,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532392,INE230B01021,CREATIVEYE,B,,,,,CREATIVE EYE LTD.,6.4,6.4,5.83,6.16,6.19,6.4,,6.24,,,366,2250,12,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532395,INE555B01013,AXISCADES,B,,,,,AXISCADES TECHNOLOGIES LIMITED,1624.75,1636,1589,1601,1604.85,1604.15,,1603.2,,,12922,20755443,1012,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532397,INE971A01014,KONNDOR,XT,,,,,KONNDOR INDUSTRIES LIMITED,17.74,17.74,16.63,16.63,16.63,17.5,,16.63,,,7671,127686,15,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532398,INE240C01028,UMESLTD,B,,,,,USHA MARTIN EDUCATION & SOLUTI,5.72,5.75,5.72,5.75,5.75,5.71,,5.81,,,13,74,3,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532400,INE836A01035,BSOFT,A,,,,,BIRLASOFT LIMITED,277.25,292.8,277.25,290.1,290.1,274.85,,290.15,,,434420,124803489,6472,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532402,INE718B01017,USGTECH,XT,,,,,USG TECH SOLUTIONS LTD.,9.85,9.85,9.85,9.85,9.85,10.05,,9.85,,,17646,173813,12,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532404,INE856B01023,7TEC,X,,,,,SAVEN TECHNOLOGIES LTD.,37.2,37.2,35,35.66,35.66,35.55,,35.66,,,17477,624238,250,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532406,INE005B01027,AVANTEL,A,,,,,AVANTEL LTD.,180.75,183,177,180.2,180.85,179.85,,180.19,,,294531,52858217,2149,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532407,INE935B01025,MOSCHIP,A,,,,,MOSCHIP TECHNOLOGIES LIMITED,240.65,245,236,236.7,236.7,238.7,,236.81,,,518964,124630700,4735,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532408,INE933B01012,SIGMAADV,B,,,,,SIGMA ADVANCED SYSTEMS LIMITED,584.75,584.75,559.1,582.9,582.9,556.95,,582.65,,,178845,103974924,2372,F1,1,,,,,
